ESG_Rating_Score,P/E Ratio,Revenue,EBITDA,Net Income,EPS,Market Cap,Debt to Equity,Current Ratio,Quick Ratio,1Y Return,Avg Volatility (30D),EBITDA Margin
8.571,24.47,6533000192,1802000000.0,1259000064,4.37,30486065152,58.74,2.2,1.5,-28.0677694593076,1.73159215227269,0.2758303914037295
5.714,30.92,400366010368,138865999872.0,97294000128,6.42,2965204369408,146.99,0.82,0.68,8.82122885403197,1.77376242294716,0.34684762511273143
7.143,79.23,57366999040,27366000640.0,4155000064,2.34,326553698304,4789.6,0.76,0.48,19.0084421806048,1.61452462033296,0.4770338539221591
4.286,32.24,11232000000,2532000000.0,2537999872,3.94,78410735616,28.73,1.27,0.7,-13.1766029548989,2.47140662065946,0.22542735042735043
4.286,17.3,42344001536,11020999680.0,13450999808,7.7,231816298496,27.09,1.78,1.09,29.7604162549124,1.300946001043,0.2602729850798388
7.143,9.7,18172000256,4457999872.0,3726000128,9.75,35509223424,12.66,0.58,0.29,-0.627930618887205,1.6088852755045,0.24532246363622326
8.571,25.4,67221491712,11472501760.0,7683452928,12.13,192753401856,26.71,1.48,1.33,2.29980380128669,1.66017298394195,0.17066717009423332
10.0,25.33,22037000192,8664999936.0,6751000064,15.13,163353935872,50.12,1.18,1.03,-20.5291438784602,2.25385371123354,0.3932023351865114
10.0,66.09,9337626624,4111152128.0,1563862016,3.14,102919979008,21.72,1.93,1.32,1.81680219155765,2.43584981828083,0.4402780592483026
8.571,17.09,83857997824,2609999872.0,1366000000,2.84,23316236288,55.5,1.38,0.36,-20.0264528146033,1.64762731471173,0.03112404230635021
10.0,31.5,20202600448,5949100032.0,3998299904,9.77,124910624768,74.58,1.01,0.14,27.3336577909738,1.12448225854582,0.29447199370756966
10.0,56.04,6130999808,1456999936.0,1112000000,5.13,61504909312,97.63,0.68,0.56,32.0108395767169,1.76522275834336,0.2376447531606251
7.143,21.6,7596000256,3268000000.0,1210000000,4.51,26325176320,158.92,0.86,0.44,35.0291319682498,1.18575405324295,0.43022642046630283
8.571,20.21,20159000576,7971500032.0,2764199936,5.18,55919534080,171.5,0.42,0.22,17.2683647332145,1.19208441900134,0.3954313112868478
8.571,6.04,12119000064,3119000064.0,1306000000,1.84,7916583936,361.56,0.84,0.38,-39.0406269062281,2.69706316432863,0.25736447293742665
7.143,16.58,16888999936,4632249856.0,3592999936,6.43,57851453440,42.51,1.38,1.24,26.2599047288567,1.3532895298034,0.27427614859101623
5.714,20.23,27047000064,7714999808.0,2507000064,4.1,47807148032,21.11,0.64,0.23,7.39545213997094,1.50388360000653,0.28524419675913676
8.571,15.43,12071400448,1160099968.0,670400000,12.82,10069300224,39.81,0.42,0.14,13.960151525786,1.46961521044117,0.09610317982551944
7.143,51.12,11243499520,3720999936.0,1558700032,6.49,84945584128,60.05,1.44,0.57,34.0757825045572,1.32129373523674,0.33094677768083364
8.571,24.21,4019336960,1124982016.0,452671008,2.98,11567354880,100.75,1.18,1.03,-16.0664760342614,2.34756047437295,0.27989243678638975
7.143,24.65,5093670912,191592992.0,-1307299968,-11.12,7373226496,35.76,2.11,1.2,-51.4925259426964,3.59601844608098,0.037613932134609014
7.143,35.48,3980843008,810150976.0,409564000,5.49,14261367808,3.12,1.21,0.99,-28.576662745951,2.52051008965186,0.20351241542856643
7.143,13.74,65299001344,6040999936.0,3927000064,14.63,53241659392,36.67,0.44,0.24,20.7283588949297,1.61454856064236,0.0925128993041649
8.571,20.32,3820199936,922300032.0,621900032,7.12,12446601216,133.64,2.17,1.43,16.7974491350516,1.45232560314126,0.24142716283213927
10.0,21.92,27634999296,8480999936.0,6343000064,7.65,136238718976,35.37,2.68,1.84,-18.0301015271784,2.99922703518183,0.306893437743911
8.571,16.66,13461999616,1899000064.0,805000000,0.56,21378201600,241.41,1.7,1.02,-5.54539606392726,1.39047046135582,0.1410637437355874
8.571,79.71,27750000640,5878000128.0,2227000064,1.37,177056874496,8.17,2.8,1.76,-27.457490042667,3.16520920942842,0.21181981954721857
7.143,29.1,6936970752,2180838912.0,1416939008,6.11,41045667840,21.76,1.41,16.59,5.19899837393323,1.48848186068548,0.31437914184245935
7.143,24.68,34126000128,15726000128.0,5933000192,10.98,145712939008,924.46,1.17,0.74,-9.4664815037793,1.53908401411702,0.460821662926063
7.143,17.37,18082000896,2949985920.0,2993999872,29.42,48656420864,74.24,2.91,2.08,19.8054263529837,1.7490556964368,0.0
10.0,34.25,10177399808,6680600064.0,2896300032,6.19,99247595520,446.68,0.56,0.49,18.3893211740941,1.68752934086957,0.656415213122381
5.714,33.94,650313007104,126144004096.0,65943998464,6.14,2208471449600,51.64,1.05,0.81,11.4916580055437,2.03475184985801,0.19397429040785996
8.571,38.47,7436546048,3186673920.0,3028154112,2.37,114514788352,74.58,3.93,3.07,17.6880622268269,3.19208958052173,0.4285153214182047
10.0,50.63,2583095040,878038976.0,592779008,6.74,30042687488,13.93,3.66,3.56,4.11943586557314,1.52969280599257,0.3399174100849189
7.143,30.06,16357000192,5248000000.0,2548000000,11.58,75175190528,254.47,1.05,0.25,21.1067332654096,1.20944273578226,0.32084122628834655
5.714,19.77,3803200000,768899968.0,522600000,3.58,10059895808,15.94,1.61,0.95,-16.2166508645988,1.58482017671189,0.20217184686579723
7.143,8.01,9472000000,5629000192.0,804000000,2.27,6575051776,100.86,1.15,0.87,-37.0486446038262,2.9111109545155,0.5942778918918918
7.143,40.51,12020700160,4304699904.0,1547200000,6.94,62479228928,98.53,1.0,0.77,15.0295435080836,1.70276459917447,0.3581072522151655
5.714,40.59,16777400320,4452499968.0,2613100032,2.06,101329043456,69.1,1.99,1.22,32.666354886995,2.30831674758642,0.2653867633290162
5.714,19.42,24387000320,2949985920.0,3369999872,5.74,81369317376,90.49,1.79,1.68,31.7038685495106,2.52225717219394,0.0
8.571,10.88,19637000192,3104999936.0,1558000000,6.12,14492107776,91.19,1.61,1.08,-19.7606948226433,2.36773272485229,0.15811987093960303
5.714,100.39,3111841024,1971954944.0,131070000,0.76,13199060992,61.19,3.38,2.87,-33.5869049618397,1.7216323724505,0.6336939865473025
7.143,22.44,4182718976,2092520960.0,1082935040,6.98,24862359552,66.59,1.56,1.13,38.0442362314731,1.04129634669706,0.5002776834892959
7.143,25.76,2988731904,1825577984.0,1142966016,8.04,29519570944,71.14,0.49,0.04,8.66250454506525,1.28656303190714,0.6108202550910368
7.143,101.2,54528999424,28841000960.0,10396999680,2.15,1023003262976,166.03,1.0,0.81,64.0587137571538,3.92364057131594,0.5289112447441339
8.571,20.68,8752700416,1428700032.0,698800000,8.7,14047373312,159.37,1.03,0.59,-18.9570542416479,1.35847317859308,0.16322962789727452
7.143,26.02,4815000064,2601999872.0,1071000000,5.5,27857465344,137.74,0.49,0.38,8.40331902229419,1.41220523526979,0.5403945664412768
8.571,141.36,2082525952,125274000.0,377033984,4.81,52932812800,31.41,2.3,1.91,123.218201133022,3.27248089780876,0.06015483258669134
8.571,20.82,62049001472,2949985920.0,10142000128,14.31,208719478784,170.35,1.57,1.57,26.2008111861596,1.85665895774159,0.0
5.714,24.11,18672517120,4320432128.0,2606789888,149.07,60118429696,74.58,0.84,0.1,22.3222577889463,1.34109966480902,0.23137920293415695
4.286,24.65,69444001792,-7688000000.0,-11655000064,-17.97,146371411968,74.58,1.23,0.35,9.50739526214777,2.36036888599319,-0.11070790567380095
7.143,12.98,97452998656,2949985920.0,26350999552,3.35,327599095808,74.58,1.24,0.79,16.6833621924499,1.72555405351008,0.0
10.0,30.49,12017999872,1886000000.0,527000000,1.76,15151045632,126.81,1.04,0.64,-21.4809191259996,1.59362164375982,0.15693127143345006
5.714,24.65,10771000320,1955000064.0,-277000000,-0.52,16667924480,146.14,2.02,1.15,-5.59226932668329,1.96580467254423,0.1815058960094804
10.0,17.57,41528000512,2600000000.0,927000000,4.28,15923020800,144.84,1.03,0.35,5.11300310224662,2.47364364772799,0.06260835985225678
5.714,33.63,20867000320,5573000192.0,1498000000,5.17,49742077952,76.34,1.13,0.48,-25.4744589443491,1.34986978307386,0.26707241608936727
5.714,32.0,8697100288,1667100032.0,358300000,0.69,11603503104,24.12,6.58,1.64,-1.98709268177205,2.08766090006922,0.19168458184852888
10.0,10.12,51334000640,1790000000.0,1094000000,7.79,10559357952,66.08,2.04,0.79,-24.4597470159644,1.69215596603504,0.03486967658244842
8.571,12.19,9816399872,3080900096.0,1479299968,10.12,18081554432,39.0,1.44,0.87,-45.2383049918735,1.68779593976761,0.3138523426279593
8.571,14.17,18823000064,2949985920.0,4531999744,6.13,62164058112,74.58,1.24,0.79,54.0540370542235,1.47071165451431,0.0
7.143,31.96,24085999616,8499999744.0,5439000064,160.56,166981042176,74.58,1.22,1.15,38.1676223967546,1.76547614635491,0.35290209580313897
8.571,12.9,27837999104,4622000128.0,2926000128,2.93,37450350592,35.01,1.34,0.79,19.3214397744835,2.14950060250007,0.16603205247376676
7.143,14.86,16166635520,1972672000.0,915420992,7.8,12808135680,116.8,1.82,1.0,-30.7552129867004,2.61470601555121,0.12202118353936886
7.143,23.2,20955000832,8436250112.0,6305999872,41.14,147956088832,28.82,2.12,1.5,23.554178589054,1.49145413736634,0.4025888702956841
7.143,17.64,47636000768,19174000640.0,5418999808,2.68,96198230016,293.85,1.28,1.1,10.0606990246766,1.87687029042905,0.4025107131344314
10.0,35.29,6768000000,1684600064.0,788499968,6.66,27606740992,152.82,1.32,1.19,20.7255794340257,1.23809129546772,0.24890662884160755
5.714,30.52,4860000256,1667000064.0,1019000000,3.58,31403638784,59.03,1.2,0.45,25.7831493925272,1.2468450273451,0.3430041103273555
4.286,74.58,17553999872,4536000000.0,2032000000,1.37,151155408896,52.16,1.45,0.68,40.3241334910417,1.29638294257074,0.2584026451564053
4.286,44.81,12372734976,2949985920.0,2543973888,3.3,178874122240,73.1,0.94,0.82,23.9572712116026,2.18062823857696,0.0
8.571,24.65,3397133056,1891934976.0,-4434000,-0.03,11733967872,209.43,1.17,1.01,11.9217765448734,1.93410617420824,0.5569210698587368
7.143,11.79,71819001856,2949985920.0,12163999744,6.33,139386437632,74.58,1.24,0.79,21.7440797279087,2.09151159276428,0.0
8.571,33.99,11736899584,2138700032.0,329100000,0.68,11034413056,92.78,0.69,0.19,-21.3892478441001,1.50580617928754,0.1822201865742741
10.0,23.04,222286004224,3164999936.0,1556999936,6.38,35085516800,74.58,0.94,0.44,52.7588879281583,1.33418024341715,0.014238413016820418
8.571,48.89,22283999232,3232000000.0,1343000064,1.5,62870831104,81.85,1.2,0.73,15.426696571427,1.95238440176224,0.14503680270096322
8.571,16.74,63259000832,14789999616.0,9939000320,20.51,161369767936,213.55,1.32,0.69,-2.30247798644798,1.85741050413127,0.23380071486235643
5.714,13.79,56306999296,10869000192.0,8460000256,20.77,114755903488,29.87,0.38,0.18,14.0112169227202,1.25543649566983,0.19303106768064132
8.571,29.21,4332299776,1369600000.0,802099968,7.62,23277176832,36.02,1.6,0.78,21.8391436246238,1.41298946377668,0.31613694130477454
8.571,40.04,36742000640,2256000000.0,1005000000,3.27,39147151360,100.42,1.0,0.8,48.8709872201361,1.89941277422434,0.061401120263003726
10.0,24.65,6514999808,3944999936.0,-3912999936,-9.05,43721928704,74.58,0.37,0.12,6.71496049350512,1.56846827273852,0.605525717921863
4.286,14.0,25423998976,6383000064.0,2052000000,1.55,29393688576,309.25,0.26,0.15,48.4546644792417,2.97889821495829,0.25106200130142736
8.571,78.32,4874527232,1710598016.0,1081420032,3.94,84468260864,51.86,3.07,2.74,8.57238645086434,2.59689219984469,0.350925932831059
7.143,23.21,21325099008,1985799936.0,1086599936,8.07,24678639616,272.8,1.32,1.15,-14.8118286282809,1.88995303861709,0.0931203149516463
5.714,30.33,24195000320,6557000192.0,2984000000,9.49,90207682560,62.68,1.47,0.98,35.0730783539093,4.33112494158068,0.2710064106335172
5.714,12.55,6128999936,2784999936.0,1336000000,7.56,14076449792,45.17,2.59,2.12,17.276101074864,1.97750722028519,0.45439712270866633
7.143,13.24,7116000256,2949985920.0,1408000000,3.15,18091837440,74.58,1.24,0.79,20.4980868512647,2.10077132871524,0.0
8.571,40.52,6070900224,1365400064.0,577699968,2.33,23253473280,52.84,1.95,1.38,-10.9365292691534,1.2466832276769,0.22490899432051017
10.0,22.68,17359384576,803630976.0,508088000,4.19,11281819648,99.66,1.29,1.24,15.1417089478673,1.77213359130719,0.046293748057811335
5.714,11.24,55140999168,22151999488.0,5193999872,35.83,56541425664,465.63,0.36,0.3,46.2770831705969,2.44671316725769,0.4017337339228971
8.571,17.53,255368003584,11470999552.0,5033999872,17.94,83984416768,75.34,0.78,0.65,-7.66147244404202,1.69461559913885,0.04491948635306131
5.714,16.2,10968000512,1972999936.0,1447000064,9.18,23243968512,6.4,1.09,0.86,28.6743323197484,1.54295548156626,0.17988692960411123
7.143,25.21,19946999808,4861000192.0,2896000000,3.53,72119271424,1128.1,0.85,0.44,-3.90266123204145,1.24768540803309,0.24369580582491576
10.0,24.78,7018999808,1260999936.0,694000000,5.57,17008914432,1549.47,0.74,0.38,0.849576701175699,1.29411256858037,0.17965521733776915
5.714,8.61,123560001536,38270001152.0,15710000128,4.06,130474147840,113.54,0.64,0.51,-9.15256940642933,1.76048921712747,0.30972807280881903
5.714,27.5,6274100224,4419100160.0,3581299968,9.95,98513141760,14.04,1.02,0.02,36.2807835073844,1.09079836641833,0.7043400650655592
5.714,44.77,11487257600,2342904064.0,1561421952,1.13,68156203008,132.72,1.52,1.39,-20.862802756672,2.12363275308779,0.2039567793796145
10.0,16.14,33873000448,5036000256.0,2776999936,20.3,45123031040,67.79,1.34,0.68,14.8359561385667,1.82269393186147,0.14867298997415346
8.571,20.8,7785999872,2801999872.0,1010000000,3.38,21034399744,190.14,1.06,0.57,16.2144482678316,1.05834850072026,0.3598766912489361
8.571,9.13,153265995776,6483999744.0,3452999936,6.78,30816555008,65.38,1.11,1.07,-19.7278041732737,2.09542346248681,0.042305533664991415
7.143,24.82,8942999552,3361999872.0,966000000,1.48,23981228032,202.53,0.93,0.74,27.3498563455392,1.30087757431308,0.37593649115727923
7.143,16.86,28308000768,2949985920.0,4567000064,11.9,76813918208,74.58,1.24,0.79,42.5682877037178,2.37617612617424,0.0
8.571,40.8,3928499968,1106099968.0,415400000,2.07,16886367232,31.25,1.99,0.82,-9.02725920232516,1.69687604782683,0.28155784065415573
8.571,11.93,59090001920,25586999296.0,9516000256,7.89,117744787456,36.46,1.27,1.02,-21.6745492261541,1.86562896022974,0.4330174050534199
8.571,31.56,310232186880,4482921984.0,1693315968,8.65,52880736256,665.89,0.87,0.48,23.2780186977943,1.20582981659558,0.01445021559202052
7.143,58.56,264085995520,12072999936.0,7621000192,17.12,444818849792,31.43,1.0,0.44,30.0062431072945,1.34888211946657,0.045716168751120605
4.286,24.54,4045005056,2143966976.0,1017209984,14.24,24630556672,233.86,1.1,0.68,21.560985054019,1.88793252038099,0.5300282561624565
8.571,20.61,10119000064,1867000064.0,521000000,1.73,10631678976,205.5,0.93,0.45,-20.109454839579,1.53160766980441,0.1845044028255478
7.143,41.56,4506402816,1829825024.0,1454343936,1.49,59830140928,1.43,7.89,6.45,13.4456862650144,1.50269868084224,0.406050035630015
4.286,108.9,1562268032,886947968.0,117999000,1.09,12681670656,79.75,0.04,0.03,15.1816369703666,1.3134504439642,0.5677309845894613
7.143,675.57,4022597120,888742016.0,-31563000,-0.61,6968044032,92.21,1.43,0.94,-37.8880115395216,2.82371881998877,0.22093736695162752
8.571,44.9,37895000064,11143000064.0,6197000192,6.36,274409553920,19.73,1.06,0.93,3.65867363236643,2.14116878427863,0.2940493480717995
4.286,24.65,3953624064,101526000.0,-19271000,-0.08,104862646272,23.77,1.77,1.58,31.9036341332588,3.20020991691647,0.025679224518196375
8.571,26.9,54175997952,14588999680.0,9187000320,2.28,243988529152,71.21,0.87,0.66,29.7695895087183,1.33941909243183,0.26928898832515963
5.714,265.88,2812000000,183200000.0,117200000,0.28,31407378432,13.08,6.01,5.77,-15.9573287921009,1.88605884329006,0.06514935988620199
8.571,18.0,14282000384,6789000192.0,3236000000,1.68,56816746496,162.01,0.88,0.73,-11.103778973095,1.56387193402567,0.47535359259657056
7.143,49.94,10143464448,2664393984.0,1772107008,4.3,86717292544,58.62,1.72,0.85,25.4406260644998,1.51624431949344,0.2626710033498803
5.714,14.03,5801999872,3574000128.0,1284000000,1.71,18310631424,31.77,0.9,0.83,-11.3836221379372,1.75201890761527,0.6159945203114958
5.714,17.1,20091000832,3595000064.0,2356999936,4.75,40046608384,7.91,2.22,1.83,21.5770587302415,1.48329809857015,0.17893583769475802
5.714,55.55,16833000448,3328000000.0,1142000000,1.66,46287855616,16.65,1.44,0.9,19.6152484012448,1.62570568443686,0.19770688002300943
5.714,15.54,376741003264,13946999808.0,5280000000,4.19,82384429056,105.32,0.82,0.59,20.658320771331,2.3421624059201,0.037020127055898626
7.143,16.24,195112992768,38499999744.0,15660000256,8.75,247981834240,19.78,1.08,0.68,-9.97837831457283,1.48078412076814,0.19732155812800536
8.571,24.65,11297000448,3628000000.0,-235000000,-1.1,6234880512,606.8,0.84,0.62,-17.3145867311431,2.93893136918832,0.3211471944875681
8.571,21.28,14903000064,7336000000.0,2182000128,2.59,46992789504,145.2,0.73,0.32,8.96731101213319,1.45943139954456,0.4922498804600421
8.571,9.1,61935001600,7950000128.0,3660000000,5.64,33525975040,151.36,0.38,0.25,-2.24199170394507,2.70088200540482,0.1283603765661322
5.714,237.55,11240999936,530000000.0,339000000,0.79,80528121856,6.28,1.72,1.44,63.110453868095,2.21624306862308,0.047148830443690525
8.571,534.14,1810300032,233500000.0,25900000,0.16,9393807360,47.5,1.02,0.14,-5.00403796663123,2.36696314383698,0.12898414399409347
7.143,2385.33,12520999936,3177999872.0,13000000,0.03,29947787264,33.11,1.4,0.87,-7.54773072082614,1.70039299217866,0.2538135842380057
8.571,22.25,47855001600,10081000448.0,6217999872,22.56,136366538752,289.67,2.21,1.9,24.9764942598625,1.77294684832368,0.21065719592411422
10.0,20.28,4923590144,1226205056.0,942225024,6.16,18962642944,9.77,3.17,2.49,-11.8765205290593,2.84951956983685,0.24904693935466615
7.143,16.01,95567003648,9728000000.0,4592000000,6.38,71267016704,74.58,0.78,0.41,-20.6796962562023,3.43514784412999,0.10179245585464775
8.571,10.84,13342999552,2949985920.0,4702000128,18.73,51114500096,76.67,1.04,1.03,66.612574160763,2.66652973531239,0.0
7.143,17.2,40612306944,2912476928.0,1125252992,5.11,19334440960,235.56,1.19,0.15,-34.6021172508092,2.61515602179901,0.07171414645358591
10.0,22.1,10158000128,1975000064.0,892000000,7.91,19517147136,93.37,1.44,1.1,26.7033414715762,1.35628095365352,0.19442804086564391
7.143,9.51,35315298304,5640000000.0,4292199936,13.19,38526640128,26.6,6.94,0.59,-13.723980556334,2.09998456576528,0.15970415856182033
7.143,38.19,23819999232,7464000000.0,3764999936,5.16,141015613440,34.56,1.43,0.95,-21.3161909085231,1.69058788010267,0.31335013604756107
5.714,35.72,94039998464,19192000512.0,8910000128,3.08,198893043712,39.43,0.67,0.54,4.90156354206554,1.58129282270605,0.20408337755712536
10.0,158.99,5519691776,2488730112.0,390232000,1.07,57283956736,79.55,1.66,1.36,20.3106357101305,1.79152500478026,0.45088208055768075
7.143,18.35,17578500096,2040999936.0,1042499968,4.83,18625880064,196.88,1.06,0.15,-26.2627251258564,2.8683536496478,0.1161077409820893
8.571,42.65,2796777984,1608579968.0,278271008,0.41,12215230464,103.85,1.68,0.66,-6.19788132228671,1.42315638323892,0.5751546877165349
8.571,24.45,7728248832,1666148992.0,1037107008,7.52,25238790144,41.65,2.13,1.49,0.984896539866709,1.63532999152068,0.2155920478519085
8.571,78.72,42630000640,4520999936.0,281000000,0.4,22259085312,103.62,1.54,0.6,-43.7316111310917,1.88595509792895,0.1060520729093754
5.714,27.84,4733825024,935030976.0,607996992,17.43,16634520576,74.58,0.6,0.36,-3.45645161828328,1.96649321188383,0.1975212373206636
5.714,23.09,11762299904,1855299968.0,1057000000,8.89,23963998208,357.83,0.39,0.13,42.0864863972075,1.92239113000207,0.1577327549154795
8.571,17.99,13656999936,3460999936.0,1532999936,7.4,27628679168,196.5,0.87,0.46,19.5022696693722,1.15593987543334,0.25342314946321165
8.571,19.42,30512001024,14897999872.0,4643999744,6.03,91032346624,168.9,0.77,0.3,18.2330105955777,1.10891600584692,0.48826689079754537
8.571,13.41,12815550464,2678688000.0,936342016,10.73,11060627456,576.99,1.26,1.14,5.35178106346132,1.94296885751282,0.20901856752268805
7.143,7.72,15943000064,7759000064.0,2788999936,4.39,21789552640,60.63,1.08,0.89,-29.8939053973804,2.25408295274865,0.4866712684471579
7.143,64.43,4148000000,857800000.0,535200000,1.33,33601609728,113.97,1.5,1.27,-31.4165651958186,3.16230690243491,0.20679845708775313
8.571,35.52,7463000064,1972999936.0,1120999936,4.25,39345500160,29.5,0.95,0.85,19.9033934920399,1.60614722271305,0.26437088557956095
7.143,16.54,10311999488,2516000000.0,2047000064,4.16,31710674944,145.01,1.17,1.07,34.813294478561,1.81283853980336,0.24398759939116088
10.0,34.65,15684500480,3648699904.0,2102800000,7.35,72241324032,103.92,1.32,0.91,10.9857333095386,1.25096478954206,0.2326309281352389
7.143,19.36,15774000128,5599000064.0,1891000064,5.41,37733801984,110.23,1.28,0.88,10.9982382978854,1.19199966840542,0.3549511866721344
5.714,55.95,5733700096,1778300032.0,612300032,4.9,34050398208,97.1,0.85,0.7,12.7046397439113,1.9462820366327,0.31014876994361723
7.143,17.63,17401999360,2949985920.0,841000000,19.8,14849714176,25.37,0.4,0.28,-6.45134489698657,1.60466019976163,0.0
7.143,7.99,17332000768,6406000128.0,2729999872,7.07,21739165696,210.46,0.96,0.51,-20.5449010798198,1.68137466153873,0.3696053452655836
7.143,24.65,14785999872,2151000064.0,-871000000,-2.42,23481012224,215.93,1.41,0.89,-50.454293687204,2.98414483459474,0.14547545533753944
10.0,16.11,183124000768,9834999808.0,5917000192,25.71,93575503872,70.4,1.43,1.3,-22.0196550472328,1.66924767225858,0.05370677664726194
5.714,10.46,9361999872,1923000064.0,922000000,7.85,9482729472,86.0,1.72,0.74,-15.9100378715386,1.80891898291523,0.2054048376727002
5.714,33.44,17607000064,4853000192.0,1972000000,3.46,66943389696,77.86,0.8,0.55,5.26531843204438,1.90264837842361,0.27562902109159665
8.571,46.7,1423128064,225983008.0,148484992,1.09,6679092224,152.29,1.9,1.5,-54.0485653184442,3.95910629345995,0.15879316395801185
7.143,10.6,23478999040,12144000000.0,6077000192,10.8,62498070528,17.15,1.87,1.61,-8.78325488158822,1.70956130561154,0.5172281824838816
7.143,23.47,4864166912,690411008.0,411772000,7.15,10406726656,4.34,3.06,2.9,-3.63884353868853,2.42791443478063,0.14193818191081023
10.0,90.44,8814000128,3664999936.0,927000000,9.59,84932329472,141.24,1.44,1.25,14.0680641026319,1.49115534755441,0.41581573437435737
5.714,27.07,3010099968,1840765952.0,995214016,2.62,27770882048,70.33,0.2,0.07,10.3262224231061,1.36441077349498,0.6115298400614447
8.571,90.11,6155850752,2947750912.0,369228000,0.61,32906471424,34.39,0.57,0.52,40.2776025531397,2.31308361304814,0.47885353800078617
2.857,29.93,3903813120,778619776.0,614179008,11.76,18401861632,0.62,1.38,1.25,-11.5053622998001,1.97227478776024,0.1994510884783337
8.571,27.28,12686588928,4379497984.0,840593024,2.28,22850426880,189.94,0.75,0.33,6.38524335265835,1.48410840522591,0.3452068959477521
